date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:51:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202024%2006:51:20%20GMT	http://kong.cash/cdn/shop/files/100.jpg?v=13129909113072496941	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/files/100823c.jpg	(from https://kong.cash/)
01:51:21	53282/53282	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Nov%202024%2021:14:44%20GMT	https://kong.cash/cdn/shop/files/100.jpg?v=13129909113072496941	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/files/100823c.jpg	(from https://kong.cash/)
01:51:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202024%2006:51:22%20GMT	http://kong.cash/cdn/shop/files/500.jpg?v=7973770113112326158	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/files/5004669.jpg	(from https://kong.cash/)
01:51:23	54287/54287	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Nov%202024%2006:51:23%20GMT	https://kong.cash/cdn/shop/files/500.jpg?v=7973770113112326158	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/files/5004669.jpg	(from https://kong.cash/)
01:51:25	51794/51794	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:68013bbaa30d8d6d81d9099561e6cf46%22	https://kong.cash/pages/media	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/pages/media.html	(from https://kong.cash/)
01:51:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Nov%202024%2006:51:26%20GMT	http://kong.cash/cdn/shop/t/8/assets/scripts.js?v=101681475637685752931606242998	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/t/8/assets/scriptsdec1.js	(from https://kong.cash/)
01:51:26	52683/52683	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:ccbd85f02ff922f8295558d71755456f%22	https://kong.cash/pages/privacy-policy	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/pages/privacy-policy.html	(from https://kong.cash/)
01:51:28	22232/22232	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Nov%202024%2006:51:28%20GMT	https://kong.cash/cdn/shop/t/8/assets/hinted-subset-GTWalsheimMedium.woff2?v=70815292190077839511606242982	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/t/8/assets/hinted-subset-GTWalsheimMedium4ff3.woff2	(from https://kong.cash/cdn/shop/t/8/assets/style.css?v=158438513644648388461674776233)
01:51:29	4236698/4236698	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2012%20Nov%202024%2004:07:20%20GMT	https://kong.cash/cdn/shop/t/8/assets/scripts.js?v=101681475637685752931606242998	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/t/8/assets/scriptsdec1.js	(from https://kong.cash/)
01:51:29	22312/22312	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Nov%202024%2006:51:29%20GMT	https://kong.cash/cdn/shop/t/8/assets/hinted-subset-GTWalsheimMedium.woff?v=105474726204430630071606242981	/Users/kashan/workspace/htdocs/aj/shadow/httrack/kong.cash/cdn/shop/t/8/assets/hinted-subset-GTWalsheimMedium39a5.woff	(from https://kong.cash/cdn/shop/t/8/assets/style.css?v=158438513644648388461674776233)
